Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 11,21H2,Pro,2022/07/19,22000.795,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 11,21H2,Pro,2022/06/21,22000.739,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 11,21H2,Pro,2022/05/17,22000.675,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 11,21H2,Pro,2022/04/19,22000.613,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 11,21H2,Pro,2022/03/15,22000.556,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 11,21H2,Pro,2022/02/15,22000.493,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 11,21H2,Pro,2022/01/11,22000.434,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 11,21H2,Pro,2021/12/14,22000.376,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 11,21H2,Pro,2021/11/09,22000.318,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 11,21H2,Pro,2021/09/16,22000.194,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows Server 2022,21H2,Standard,2022/09/21,20348.1006,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H2,Pro,2022/09/21,19044.2006,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H2,Pro,2022/08/16,19044.1889,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 11,21H2,Pro,2022/07/19,19044.1826,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H1,Pro,2021/04/13,19043.928,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H1,Pro,2022/09/21,19043.2006,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H1,Pro,2022/08/16,19043.1889,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 11,21H1,Pro,2022/07/19,19043.1826,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H1,Pro,2022/06/21,19043.1766,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H1,Pro,2022/05/17,19043.1706,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H1,Pro,2021/12/14,19043.1415,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H2,Pro,2021/12/14,19043.1415,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H1,Pro,2021/11/09,19043.1348,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H1,Pro,2021/10/12,19043.1288,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H1,Pro,2021/07/13,19043.111,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H1,Pro,2021/06/08,19043.1052,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,20H2,Pro,2022/04/19,19042.1645,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,20H2,Pro,2022/01/11,19042.1466,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,2004,Pro,2021/05/11,19041.985,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,20H2,Pro,2021/05/11,19041.985,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,2004,Pro,2021/04/13,19041.928,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,20H2,Pro,2021/04/13,19041.928,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,2004,Pro,2021/03/09,19041.867,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,20H2,Pro,2021/03/09,19041.867,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,2004,Pro,2021/02/09,19041.804,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,20H2,Pro,2021/02/09,19041.804,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,2004,Pro,2021/01/12,19041.746,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,20H2,Pro,2021/01/12,19041.746,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,2004,Pro,2020/12/08,19041.685,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,20H2,Pro,2020/12/08,19041.685,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,20H2,Pro,2020/11/19,19041.631,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,2004,Pro,2020/11/10,19041.63,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,2004,Pro,2020/10/13,19041.572,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,2004,Pro,2020/09/08,19041.508,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,2004,Pro,2020/08/11,19041.45,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,2004,Pro,2020/07/14,19041.388,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,2004,Pro,2020/06/09,19041.329,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,2004,Pro,2020/05/27,19041.264,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,2004,Pro,2020/04/16,19041.208,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
4,1,Information,Microsoft-Windows-Kernel-ShimEngine/Operational,,,,Windows 10,21H1,Pro,2022/03/15,19041.1586,Flags [{Flags}] were applied to device [{DeviceName}] - class [{DeviceClass}].Flags source: {FlagSource}.,{Flags} | {DeviceName} | {DeviceClass} | {FlagSource}
