Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,2004,Pro,2020/09/08,19041.508,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,2004,Pro,2020/08/11,19041.45,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,2004,Pro,2020/07/14,19041.388,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,2004,Pro,2020/06/09,19041.329,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,2004,Pro,2020/05/27,19041.264,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,2004,Pro,2020/04/16,19041.208,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,21H2,Pro,2022/03/15,19041.1586,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,21H1,Pro,2022/03/15,19041.1586,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,20H2,Pro,2022/03/15,19041.1586,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,21H2,Pro,2022/02/15,19041.1526,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,21H1,Pro,2022/02/15,19041.1526,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,20H2,Pro,2022/02/15,19041.1526,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,20H2,Pro,2021/12/14,19041.1415,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,20H2,Pro,2021/11/09,19041.1348,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,2004,Pro,2021/11/09,19041.1348,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,20H2,Pro,2021/10/12,19041.1288,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,2004,Pro,2021/10/12,19041.1288,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,20H2,Pro,2021/09/14,19041.1237,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,2004,Pro,2021/09/14,19041.1237,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,20H2,Pro,2021/08/10,19041.1165,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,2004,Pro,2021/08/10,19041.1165,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,20H2,Pro,2021/07/13,19041.111,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,2004,Pro,2021/07/13,19041.111,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,20H2,Pro,2021/06/08,19041.1052,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,2004,Pro,2021/06/08,19041.1052,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1909,Pro,2020/07/14,18363.959,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1909,Pro,2020/06/09,18363.9,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1909,Pro,2020/05/12,18363.836,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1909,Pro,2020/04/14,18363.778,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1909,Pro,2020/03/12,18363.72,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1909,Pro,2020/02/11,18363.657,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1909,Pro,2020/01/14,18363.592,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1909,Pro,2019/12/10,18363.535,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1909,Pro,2019/10/05,18363.418,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1909,Pro,2021/06/08,18363.1621,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1909,Pro,2021/05/11,18363.1556,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1909,Pro,2021/04/13,18363.15,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1909,Pro,2021/03/09,18363.144,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1909,Pro,2021/02/11,18363.1379,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1909,Pro,2021/01/12,18363.1316,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1909,Pro,2020/12/08,18363.1256,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1909,Pro,2020/11/10,18363.1198,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1909,Pro,2020/10/13,18363.1139,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1909,Pro,2020/09/08,18363.1082,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1909,Pro,2020/08/11,18363.1016,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1903,Pro,2020/07/14,18362.959,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1903,Pro,2020/05/12,18362.836,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1903,Pro,2020/03/12,18362.72,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1903,Pro,2020/02/11,18362.657,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1903,Pro,2019/12/10,18362.535,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1903,Pro,2019/11/12,18362.476,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1903,Pro,2019/09/10,18362.356,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1903,Pro,2019/03/29,18362.3,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1903,Pro,2019/07/09,18362.239,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1903,Pro,2019/06/11,18362.175,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1903,Pro,2020/12/08,18362.1256,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1903,Pro,2020/11/10,18362.1198,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1903,Pro,2020/10/13,18362.1139,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1903,Pro,2020/09/08,18362.1082,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1903,Pro,2019/12/10,18362.1016,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1809,Pro,2020/01/14,17763.973,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows Server 2019,1809,Standard,2020/01/14,17763.973,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1809,Pro,2019/12/10,17763.914,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows Server 2019,1809,Standard,2019/12/10,17763.914,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1809,Pro,2019/11/12,17763.864,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows Server 2019,1809,Standard,2019/11/12,17763.864,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1809,Pro,2019/10/08,17763.805,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1809,Pro,2019/09/10,17763.737,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows Server 2019,1809,Standard,2019/09/10,17763.737,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1809,Pro,2019/08/13,17763.678,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows Server 2019,1809,Standard,2019/08/13,17763.678,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1809,Pro,2019/07/09,17763.615,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1809,Pro,2019/06/11,17763.557,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1809,Pro,2019/05/19,17763.504,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1809,Pro,2019/04/09,17763.437,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1809,Pro,2019/03/12,17763.379,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows Server 2019,1809,Standard,2019/03/12,17763.379,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1809,Pro,2019/02/12,17763.316,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows 10,1803,Pro,2019/01/08,17763.253,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows Server 2019,1809,Standard,2021/08/10,17763.2114,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows Server 2019,1809,Standard,2021/07/13,17763.2061,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
3005,0,Error,Microsoft-Windows-CloudStore/Operational,,,,Windows Server 2019,1809,Standard,2021/06/08,17763.1999,Overwriting {Id} with 'yours' data to repair inaccessible store (access failed with error code {ErrorCode}).,{Id} | {ErrorCode}
