Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,21H1,Pro,2021/12/14,19043.1415,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,21H1,Pro,2021/11/09,19043.1348,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,21H1,Pro,2021/10/12,19043.1288,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,21H1,Pro,2021/09/14,19043.1237,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,21H1,Pro,2021/08/10,19043.1165,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,21H1,Pro,2021/07/13,19043.111,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,21H1,Pro,2021/06/08,19043.1052,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,20H2,Pro,2022/04/19,19042.1645,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,20H2,Pro,2022/01/11,19042.1466,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,2004,Pro,2021/05/11,19041.985,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,20H2,Pro,2021/05/11,19041.985,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,2004,Pro,2021/04/13,19041.928,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,20H2,Pro,2021/04/13,19041.928,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,2004,Pro,2021/03/09,19041.867,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,20H2,Pro,2021/03/09,19041.867,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,2004,Pro,2021/02/09,19041.804,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,20H2,Pro,2021/02/09,19041.804,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,2004,Pro,2021/01/12,19041.746,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,20H2,Pro,2021/01/12,19041.746,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,2004,Pro,2020/12/08,19041.685,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,20H2,Pro,2020/12/08,19041.685,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,20H2,Pro,2020/11/19,19041.631,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,2004,Pro,2020/11/10,19041.63,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,2004,Pro,2020/10/13,19041.572,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,2004,Pro,2020/09/08,19041.508,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,2004,Pro,2020/08/11,19041.45,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,2004,Pro,2020/07/14,19041.388,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,2004,Pro,2020/06/09,19041.329,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,2004,Pro,2020/05/27,19041.264,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,2004,Pro,2020/04/16,19041.208,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,21H2,Pro,2022/03/15,19041.1586,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,21H1,Pro,2022/03/15,19041.1586,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,20H2,Pro,2022/03/15,19041.1586,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,21H2,Pro,2022/02/15,19041.1526,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,21H1,Pro,2022/02/15,19041.1526,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,20H2,Pro,2022/02/15,19041.1526,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,20H2,Pro,2021/12/14,19041.1415,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,2004,Pro,2021/11/09,19041.1348,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,20H2,Pro,2021/11/09,19041.1348,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,2004,Pro,2021/10/12,19041.1288,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,20H2,Pro,2021/10/12,19041.1288,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,2004,Pro,2021/09/14,19041.1237,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,20H2,Pro,2021/09/14,19041.1237,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,2004,Pro,2021/08/10,19041.1165,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,20H2,Pro,2021/08/10,19041.1165,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,2004,Pro,2021/07/13,19041.111,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,20H2,Pro,2021/07/13,19041.111,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,2004,Pro,2021/06/08,19041.1052,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
1004,0,Error,System,,,Event originating from the fdrespub service,Windows 10,20H2,Pro,2021/06/08,19041.1052,The metadata of element {Argument} is too large.  The maximum allowed size is 2048 bytes.  Reduce the size of the metadata of element {Argument}.,{Argument} | {Argument}
